slope_degrees,rainfall_mm,soil_depth_m,vegetation_index,land_stability_score
36.5,429.5,2.9,0.5,75.41
24.5,498.0,1.1,0.5,72.19
16.0,258.0,1.1,0.4,29.83
37.4,198.0,2.3,0.6,57.97
35.9,443.4,1.2,0.2,49.43
17.7,233.6,1.5,0.2,27.38
17.3,484.4,0.7,0.5,60.88
26.6,94.4,3.3,0.3,35.03
33.1,469.1,3.0,0.4,56.95
40.1,165.7,1.0,0.3,60.86
6.2,53.0,1.6,0.9,52.08
22.9,476.4,4.2,0.7,56.89
17.3,473.3,2.6,0.2,47.04
29.0,110.6,3.0,0.5,39.52
27.4,116.0,4.1,0.7,51.33
40.8,342.2,4.4,0.4,58.63
18.8,85.9,1.9,0.2,26.55
42.0,61.7,4.3,0.3,46.98
7.5,250.1,2.6,0.6,36.74
43.4,94.0,2.3,0.6,67.8
41.3,90.7,1.5,0.3,57.19
43.7,449.2,3.6,0.3,49.13
39.9,436.9,0.7,0.8,88.45
30.1,379.0,0.9,0.5,63.11
14.5,135.3,3.9,0.2,19.94
